name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Xeon E5-2440 ,741.0,Server,LGA 1356 ,2.4,2.7,12,6,95,6040,1298,Intel
Core i7-4900MQ ,586.67,Laptop,FCPGA946 ,2.8,3.8,8,4,47,6039,1965,Intel
Xeon E3-1265L v3 ,699.95,Server,FCLGA1150 ,2.5,3.7,8,4,45,6019,2005,Intel
Ryzen 3 PRO 3300U,,Laptop,FP5 ,2.1,3.5,4,4,15,6007,2051,Amd
Core i7-3840QM ,399.0,Laptop,rPGA988B ,2.8,3.8,8,4,45,5999,1954,Intel
Core i7-8550U ,,Laptop,FC-BGA1356 ,1.8,4.0,8,4,15,5996,2101,Intel
Core i5-8265UC ,,Laptop,FCBGA1528 ,1.6,3.9,8,4,nan,5988,2200,Intel
Xeon E5-2609 v4 ,359.73,Server,FCLGA2011-3 ,1.7,,8,8,85,5974,1078,Intel
Ryzen 3 PRO 2300U,,Laptop,FP5 ,2.0,3.4,4,4,15,5964,1827,Amd
Core i5-7600T ,280.55,Desktop,FCLGA1151 ,2.8,3.7,4,4,35,5961,2247,Intel
Core i7-4770T ,399.99,Desktop,LGA1150 ,2.5,3.7,8,4,45,5957,2074,Intel
Core i7-3920XM ,1096.0,Laptop,FCPGA988 ,2.9,3.8,8,4,55,5953,2039,Intel
Xeon E3-1275L v3 ,,Server,LGA1150 ,2.7,3.9,8,4,45,5949,2065,Intel
Core i7-5700HQ ,,Laptop,FCBGA1364 ,2.7,3.5,8,4,47,5938,2010,Intel
FX-9370 Eight-Core,619.0,Desktop,AM3+ ,4.4,4.7,8,8,220,5934,1659,Amd
Core i5-5675R ,,Desktop,FCBGA1364 ,3.1,3.6,4,4,65,5931,2239,Intel
Xeon D-1521 ,,Server,FCBGA1667 ,2.4,2.7,8,4,45,5931,1693,Intel
Xeon E5-2650L ,209.95,Server,LGA 2011 ,1.8,2.3,16,8,70,5929,1091,Intel
Core i7-4800MQ ,194.1,Laptop,rPGA946B ,2.7,3.7,8,4,47,5917,1977,Intel
FX-8350 Eight-Core,228.53,Desktop,AM3+ ,4.0,4.2,8,8,125,5915,1565,Amd
Xeon X5650 ,109.95,Server,LGA1366 ,2.7,3.1,12,6,95,5912,1321,Intel
Core i5-5675C ,309.95,Desktop,FCLGA1150 ,3.1,3.6,4,4,65,5910,2258,Intel
Core i7-5700EQ ,,Laptop,FCBGA1364 ,2.6,3.4,8,4,47,5905,2124,Intel
Opteron 6378,389.0,Server,G34 ,2.4,3.3,1,1,115,5889,1127,Amd
Xeon E3-1225 v5 ,237.36,Server,FCLGA1151 ,3.3,3.7,4,4,80,5887,2040,Intel
Ryzen 3 3300U,,Laptop,FP5 ,2.1,3.5,4,4,15,5885,1856,Amd
Xeon E3-1240L v5 ,278.0,Server,FCLGA1151 ,2.1,3.2,8,4,25,5880,1893,Intel
Core i7-3820 ,299.99,Desktop,LGA2011 ,3.6,3.8,8,4,130,5875,1777,Intel
Xeon E5-1620 ,320.0,Server,LGA2011 ,3.6,3.8,8,4,130,5875,1777,Intel
Core i3-8300T ,155.2,Desktop,FCLGA1151-2 ,3.2,,4,4,25,5827,2005,Intel
Core i7-4710MQ ,271.57,Laptop,FCPGA946 ,2.5,3.5,8,4,47,5809,1911,Intel
Core i7-3940XM ,609.95,Laptop,rPGA988B ,3.0,3.9,8,4,55,5797,1932,Intel
Opteron 4274 HE,39.99,Server,C32 ,2.5,2.8,8,8,65,5776,1060,Amd
Xeon E5-2430 ,291.37,Server,LGA 1356 ,2.2,2.7,12,6,95,5737,1189,Intel
Core i7-3740QM ,229.95,Laptop,rPGA988B ,2.7,3.7,8,4,45,5698,1874,Intel
